"source","relation","target","source_id","source_tags","target_id","target_tags"
"libro","#creación literaria","libro","7d786faf-f926-4ffc-b735-35ddb67ae10a","#creación literaria|#narrativa|#puesta en abismo","6e8be2ff-1733-4b40-a8f0-c2dab2b68d50","#creación literaria|#narrativa|#puesta en abismo"
"Montiel","#crítico literario","Montiel","e7561384-62c3-49a1-963d-2e6ae9554ad5","#narrativa|#creación literaria|#personajes","63c9345a-b197-4e15-827e-d59ec5b4e997","#narrativa|#creación literaria|#personajes"
"Las almas muertas","#narrativa","Chíchikov, el protagonista","358bbaec-a0f5-4cb1-8733-3472f2f02e69","#personajes|#creación literaria|#narrativa|#novela|#intertexto","b340c97e-9b7f-4990-a351-beb2a602b9ab","#creación literaria|#narrativa|#personajes|#intertexto"
"Las almas muertas","#narrativa","Las almas muertas","358bbaec-a0f5-4cb1-8733-3472f2f02e69","#personajes|#creación literaria|#narrativa|#novela|#intertexto","008978f9-3942-4103-9a1f-4ad97b4bc10a","#creación literaria|#narrativa|#novela|#intertexto"
"Dante Alighieri","#obra","La divina comedia","eac42bed-7808-4101-8cde-23f0a4c081be","#creación literaria|#narrativa|#novelista","d78a9d48-ecd8-4afe-87e1-3e17e9127656","#creación literaria|#narrativa"
"Dante Alighieri","intertexto","Calvino","eac42bed-7808-4101-8cde-23f0a4c081be","#creación literaria|#narrativa|#novelista","ac82f499-2323-4dea-8a80-71d33fc5534d","#creación literaria|#narrativa|#novelista"
"C)","#personajes","esbozar algunas notas","d49582da-ce0f-49b1-8a90-052d25fcecf8","#creación literaria|#narrativa|#puesta en abismo|#intertexto","4ad41542-ba25-4abe-bd93-4e64404e2f71","#creación literaria|#narrativa|#novela|#novelista|#puesta en abismo"
"viejo escritor","#edad","sesenta y cinco años","d4556dd0-d78d-4f9c-a1aa-70461de105fd","#narrativa|#creación literaria|#edad|#novelista","c3abc497-3a70-486a-aa17-cfbef82a6b1e","#creación literaria|#narrativa|#edad"
"viejo novelista","se trata del presonaje que introduce la puesta en abismo","viejo escritor","8c85aaf4-555b-4e85-a3ee-d2fbdf85b12f","#narrativa|#creación literaria|#edad","d4556dd0-d78d-4f9c-a1aa-70461de105fd","#narrativa|#creación literaria|#edad|#novelista"
"una edad","#edad","a lo largo de los años","a6a86433-5d27-4ca1-b18f-f21af4bfde2b","#narrativa|#creación literaria|#edad","44c46f1d-f436-4e69-85d0-7a01a5c40dcd","#personajes|#edad|#novelista"
"protagonista","personaje","Dante C. de la Estrella","d3f1668a-af16-4706-bb29-37e9eb00bc57","#creación literaria|#narrativa|#personajes|#novelista","b76f6f95-4d1d-43ba-a758-873a0c77395e","#creación literaria|#narrativa|#personajes|#novela"
"protagonista","personaje","Dante de la Estrella","d3f1668a-af16-4706-bb29-37e9eb00bc57","#creación literaria|#narrativa|#personajes|#novelista","ac3852a4-6ffa-4fd2-85b7-cb55bff3fb4d","#creación literaria|#narrativa|#personajes"
"protagonista","antagonista","Marietta Karapetiz,","d3f1668a-af16-4706-bb29-37e9eb00bc57","#creación literaria|#narrativa|#personajes|#novelista","9278cc65-d6e2-4987-8311-980538d58cd7","#creación literaria|#narrativa|#personajes"
"protagonista","antagonista","Marietta Karapetiz,","d3f1668a-af16-4706-bb29-37e9eb00bc57","#creación literaria|#narrativa|#personajes|#novelista","87b6d85e-b53f-43a7-ba29-b8fc61edf67d","#creación literaria|#narrativa|#personajes"
"Las ciudades invisibles","#novela","Calvino","dc7f01d5-4116-4980-9bd5-cd5f49662b3f","#creación literaria|#narrativa|#novela","2363cbab-f2be-4aef-9239-e25bebf26fb2","#creación literaria|#narrativa|#novelista"
"Calvino","#novela","Calvino","2363cbab-f2be-4aef-9239-e25bebf26fb2","#creación literaria|#narrativa|#novelista","48290531-5930-409c-9c1b-d93377f44b89","#creación literaria|#narrativa|#novelista"
